time,open,high,low,close,volume,amount
2019-09-24 13:55:00,1022.36616,1022.48745768,1020.94524432,1020.96257256,28680,33827600.0
2019-09-24 14:00:00,1021.499748,1022.2361982,1020.9799008,1021.03188552,22208,26180560.0
2019-09-24 14:05:00,1021.03188552,1021.03188552,1019.766924,1020.1134888,33041,38906832.0
2019-09-24 14:10:00,1020.62467188,1023.232572,1020.20013,1023.232572,37270,43961744.0
2019-09-24 14:15:00,1023.232572,1024.965396,1023.232572,1024.315587,52094,61589616.0
2019-09-24 14:20:00,1024.52352588,1024.52352588,1022.2361982,1022.35749588,32703,38624832.0
2019-09-24 14:25:00,1022.35749588,1022.35749588,1020.64200012,1021.85497692,23747,28004416.0
2019-09-24 14:30:00,1021.85497692,1021.90696164,1020.633336,1021.72501512,29982,35339840.0
2019-09-24 14:35:00,1020.82394664,1021.85497692,1020.82394664,1021.51707624,20376,24025408.0
2019-09-24 14:40:00,1021.51707624,1022.1929642412,1021.51707624,1022.18421348,50249,59258784.0
2019-09-24 14:45:00,1022.1929642412,1024.53219,1021.82898456,1024.21161756,83270,98387104.0
2019-09-24 14:50:00,1024.2289458,1025.7625816812,1024.09031988,1025.7625816812,93267,110294288.0
2019-09-24 14:55:00,1025.75383092,1026.6115788,1025.27730432,1026.5250242412,134156,158864064.0
2019-09-24 15:00:00,1026.5336883612,1026.5336883612,1025.831808,1025.831808,88653,104975776.0
2019-09-25 09:35:00,1022.36616,1022.37482412,1015.6948742412,1016.301276,227516,267504750.0
2019-09-25 09:40:00,1016.301276,1021.90696164,1014.135246,1018.91784024,130180,152910546.0
2019-09-25 09:45:00,1019.4810946812,1025.43325848,1019.4810946812,1024.94806776,109670,129628336.0
2019-09-25 09:50:00,1025.181999,1026.27367812,1024.098984,1025.4852432,76727,90812352.0
2019-09-25 09:55:00,1025.4852432,1025.82314388,1021.066542,1022.86867896,73498,86836432.0
2019-09-25 10:00:00,1023.232572,1026.265014,1023.12860256,1026.0050904,51422,60853024.0
2019-09-25 10:05:00,1025.9878488012,1028.00650212,1025.8838793612,1027.89386856,78069,92508144.0
2019-09-25 10:10:00,1027.91986092,1029.9906722412,1027.65993732,1029.96459324,72010,85478608.0
2019-09-25 10:15:00,1029.92127264,1030.05123444,1025.85780036,1025.85780036,94995,112764496.0
2019-09-25 10:20:00,1025.90978508,1025.90978508,1022.6348343612,1022.6348343612,66056,78109472.0
2019-09-25 10:25:00,1022.36616,1024.56684648,1020.85860312,1021.75100748,75350,88900048.0
2019-09-25 10:30:00,1021.499748,1022.1929642412,1018.3806648,1018.3806648,66352,78182256.0
2019-09-25 10:35:00,1018.3806648,1022.1929642412,1018.10341296,1020.61600776,71868,84575264.0
2019-09-25 10:40:00,1020.0269342412,1020.61600776,1016.8211232,1017.37562688,93001,109299504.0
2019-09-25 10:45:00,1017.26299332,1022.26219056,1017.26299332,1019.75825988,42098,49557504.0
2019-09-25 10:50:00,1019.5070004,1023.65711388,1019.4810946812,1023.65711388,41256,48665568.0
2019-09-25 10:55:00,1023.65711388,1024.4716278012,1021.499748,1021.499748,42268,49907952.0
2019-09-25 11:00:00,1021.499748,1021.95028224,1020.86726724,1021.49108388,12200,14384096.0
2019-09-25 11:05:00,1021.49108388,1021.499748,1018.0341,1020.0269342412,19177,22554592.0
2019-09-25 11:10:00,1019.86222932,1021.499748,1019.8535652,1020.71131308,17880,21062816.0
2019-09-25 11:15:00,1021.49108388,1021.499748,1019.766924,1019.766924,10585,12472096.0
2019-09-25 11:20:00,1019.78425224,1021.30913736,1019.43768744,1021.30913736,13910,16375808.0
2019-09-25 11:25:00,1020.633336,1021.3265522412,1018.900512,1019.41169508,15927,18745920.0
2019-09-25 11:30:00,1019.41169508,1019.41169508,1018.0341,1018.9871532,16462,19351904.0
2019-09-25 13:05:00,1018.99581732,1019.3857893612,1018.99581732,1019.02180968,20300,23879552.0
2019-09-25 13:10:00,1019.02180968,1021.30047324,1019.00448144,1019.66295456,11594,13645424.0
2019-09-25 13:15:00,1019.96619876,1022.799366,1018.9871532,1019.79291636,24647,29031840.0
2019-09-25 13:20:00,1022.7127248,1022.77337364,1019.6802828,1021.40444268,20882,24601536.0
2019-09-25 13:25:00,1021.40444268,1021.40444268,1019.333718,1021.04921376,17526,20627328.0
2019-09-25 13:30:00,1020.40806888,1021.05787788,1019.74093164,1021.0232214,18393,21656848.0
2019-09-25 13:35:00,1021.0232214,1021.13585496,1020.01818348,1021.066542,10147,11954144.0
2019-09-25 13:40:00,1021.066542,1021.066542,1020.39074064,1020.92791608,25046,29507776.0
2019-09-25 13:45:00,1020.92791608,1022.74738128,1020.7893768012,1022.09757228,31446,37089536.0
2019-09-25 13:50:00,1022.09757228,1022.09757228,1017.37562688,1017.61822224,69703,81983504.0
2019-09-25 13:55:00,1017.62688636,1019.95753464,1017.62688636,1019.61963396,18447,21702272.0
